epoch,seed11_validation_loss,seed22_validation_loss,seed33_validation_loss,seed42_validation_loss,mean_validation_loss,sample_std_validation_loss,worst_validation_loss
1,1.671635,1.757590,1.606759,1.543161,1.64478625,0.09168661,1.757590
2,1.506761,1.627962,1.566192,1.515146,1.55401525,0.05585749,1.627962
3,1.529981,1.531124,1.481039,1.580204,1.53058700,0.04048665,1.580204
4,1.547334,1.449759,1.408933,1.553091,1.48977925,0.07178362,1.553091
5,1.518116,1.487449,1.498830,1.477922,1.49557925,0.01728537,1.518116
6,1.459279,1.487033,1.534642,1.490101,1.49276375,0.03117129,1.534642
7,1.587429,1.487970,1.441768,1.462092,1.49481475,0.06457292,1.587429
8,1.521749,1.561578,1.480905,1.472851,1.50927075,0.04091768,1.561578
9,1.571845,1.487452,1.449721,1.470199,1.49480425,0.05362602,1.571845
10,1.496154,1.494544,1.408210,1.450616,1.46238100,0.04182498,1.496154
11,1.487750,1.515976,1.485572,1.484446,1.49343600,0.01508912,1.515976
12,1.472139,1.509929,1.454771,1.423550,1.46509725,0.03601980,1.509929
13,1.458254,1.441340,1.476469,1.497887,1.46848750,0.02428817,1.497887
14,1.431897,1.523648,1.466773,1.463223,1.47138525,0.03820389,1.523648
15,1.447265,1.525153,1.475252,1.455737,1.47585175,0.03489402,1.525153
16,1.440022,1.472976,1.499003,1.464234,1.46905875,0.02434758,1.499003
17,1.434936,1.428499,1.438157,1.458106,1.43992450,0.01276869,1.458106
18,1.471411,1.465463,1.422604,1.465805,1.45632075,0.02264263,1.471411
19,1.441296,1.482718,1.497113,1.461783,1.47072750,0.02440071,1.497113
20,1.413029,1.403064,1.428966,1.447352,1.42310275,0.01936867,1.447352
21,1.460828,1.448735,1.435481,1.477574,1.45565450,0.01790790,1.477574
22,1.434225,1.427372,1.470071,1.437018,1.44217150,0.01903604,1.470071
23,1.415844,1.488258,1.488933,1.450781,1.46095400,0.03496062,1.488933
24,1.456813,1.429870,1.462646,1.411681,1.44025250,0.02380368,1.462646
25,1.421726,1.399899,1.454226,1.431414,1.42681625,0.02253059,1.454226
26,1.396494,1.499552,1.466527,1.401998,1.44114275,0.05027200,1.499552
27,1.407993,1.432211,1.472940,1.434345,1.43687225,0.02685149,1.472940
28,1.412160,1.470457,1.429536,1.419931,1.43302100,0.02594949,1.470457
29,1.386854,1.504705,1.519735,1.466506,1.46945000,0.05944819,1.519735
30,1.452581,1.455664,1.495500,1.438708,1.46061325,0.02439903,1.495500
31,1.443229,1.464822,1.509791,1.431768,1.46240250,0.03443651,1.509791
32,1.410807,1.464093,1.449690,1.433329,1.43947975,0.02287662,1.464093
33,1.392392,1.443431,1.473798,1.453081,1.44067550,0.03459232,1.473798
34,1.420318,1.468038,1.440760,1.427371,1.43912175,0.02105940,1.468038
35,1.404377,1.464372,1.465779,1.431701,1.44155725,0.02936394,1.465779
36,1.387674,1.514841,1.485809,1.445964,1.45857200,0.05505616,1.514841
37,1.408174,1.477144,1.464796,1.430286,1.44510000,0.03161083,1.477144
38,1.401148,1.469315,1.476873,1.432204,1.44488500,0.03508936,1.476873
39,1.400320,1.481661,1.468999,1.431075,1.44551375,0.03700961,1.481661
40,1.400310,1.480309,1.464862,1.433317,1.44469950,0.03547089,1.480309
